iter	Passed	Remaining
648	13816	50050
649	13839	50034
650	13916	50213
651	13943	50211
652	13985	50265
653	14012	50264
654	14036	50251
655	14075	50293
656	14102	50291
657	14181	50476
658	14210	50481
659	14250	50524
660	14287	50556
661	14312	50546
662	14344	50563
663	14397	50652
664	14477	50835
665	14504	50831
666	14541	50862
667	14656	51167
668	14715	51273
669	14845	51625
670	14962	51933
671	15013	52012
672	15090	52177
673	15152	52290
674	15177	52278
675	15227	52349
676	15263	52375
677	15306	52421
678	15356	52491
679	15391	52512
680	15451	52617
681	15493	52660
682	15519	52646
683	15546	52639
684	15564	52600
685	15590	52588
686	15627	52613
687	15640	52558
688	15658	52520
689	15684	52510
690	15705	52482
691	15726	52452
692	15755	52451
693	15804	52514
694	15853	52577
695	15943	52780
696	15987	52824
697	16014	52814
698	16028	52762
699	16036	52691
700	16046	52624
701	16055	52557
702	16121	52675
703	16142	52645
704	16151	52576
705	16166	52528
706	16195	52527
707	16221	52512
708	16232	52451
709	16246	52400
710	16283	52424
711	16294	52361
712	16306	52305
713	16318	52248
714	16345	52236
715	16383	52263
716	16393	52198
717	16405	52140
718	16416	52079
719	16425	52015
720	16436	51954
721	16452	51909
722	16472	51876
723	16500	51870
724	16520	51840
725	16540	51808
726	16614	51946
727	16629	51897
728	16637	51830
729	16653	51786
730	16704	51849
731	16755	51913
732	16792	51935
733	16812	51903
734	16848	51921
735	16862	51871
736	16877	51824
737	16892	51776
738	16902	51712
739	16917	51666
740	16928	51607
741	16947	51572
742	16957	51512
743	16967	51450
744	16975	51383
745	16985	51320
746	16994	51255
747	17002	51189
748	17013	51130
749	17021	51063
750	17030	50999
751	17039	50936
752	17049	50877
753	17075	50865
754	17114	50890
755	17134	50860
756	17145	50802
757	17159	50753
758	17173	50706
759	17184	50647
760	17192	50582
761	17198	50512
762	17207	50449
763	17214	50381
764	17222	50315
765	17229	50248
766	17236	50181
767	17244	50117
768	17252	50053
769	17259	49984
770	17265	49915
771	17270	49844
772	17276	49773
773	17288	49722
774	17298	49662
775	17350	49725
776	17371	49701
777	17382	49646
778	17388	49576
779	17398	49518
780	17403	49448
781	17410	49382
782	17417	49317
783	17424	49250
784	17432	49187
785	17437	49118
786	17444	49054
787	17450	48985
788	17456	48919
789	17462	48850
790	17469	48786
791	17475	48719
792	17482	48655
793	17488	48589
794	17507	48558
795	17530	48538
796	17590	48622
797	17609	48592
798	17620	48538
